Identifier	Age	Age.bands	Gender	Kinap participant	Question #	Slide 1	Audio Video Stimulus	Photographic Stim	// vs X	variable tested	sex of persons in photos	Contrast tested	R or L is correct	L/R pressed	correct	Condition
Participant 4	7	A 5_7;9	M	0	15	73-74	PC.SIB Fighting	PC.SIB vs PC.F.NSIB	1	siblinghood	2M2F, 2M2F	PC.SIB/PC.NSIB	R	R	1	cross- v parallel-cousin
Participant 4	7	A 5_7;9	M	0	16	76-77	DU.M.NSIB laughing	DU.M.NSIB vs. DU.SIB	1	siblinghood	2M, 2M	DU.SIB/DU.NSIB	R	R	1	cross- v parallel-cousin
Participant 4	7	A 5_7;9	M	0	17	79-80	DU.SIB walking	DU.SIB vs. DU.M.NSIB	0	siblinghood	2M, 2M	DU.SIB/DU.NSIB	L	L	1	sibling v non-sibling
Participant 4	7	A 5_7;9	M	0	18	82-83	PC.M.NSIB	PC.M.NSIB vs. DU.M.NSIB	0	number	3m, 2M	DU/PC	L	R	0	dual v paucal
Participant 4	7	A 5_7;9	M	0	19	85-86	DU.F.NSIB waving	DU.SIB vs. DU.F.NSIB	0	siblinghood	1M1F, 1M,1F	DU.SIB/DU.NSIB	R	R	1	sibling v non-sibling
Participant 4	7	A 5_7;9	M	0	20	88-89	DU.SIB laughing	DU.SIB vs. DU.M.NSIB	1	siblinghood	2M, 2M	DU.SIB/DU.NSIB	L	R	0	cross- v parallel-cousin
Participant 5	5	A 5_7;9	F	0	1	20-21	DU.F.NSIB walking	DU.F.NSIB vs. PC.F.NSIB	0	number	1F1M, 2F1M	DU/PC	R	R	1	dual v paucal
Participant 5	5	A 5_7;9	F	0	2	23-24	PC.F.NSIB waving	PC.F.NSIB vs PC.M.NSIB	0	gender	4F, 4M	F/M	L	L	1	male v female
Participant 5	5	A 5_7;9	F	0	3	26-27	DU.SIB fighting	DU.SIB vs. DU.M.NSIB	1	siblinghood	2M, 2M	DU.SIB/DU.NSIB	L	R	0	cross- v parallel-cousin
Participant 5	5	A 5_7;9	F	0	4	29-30	PC.F.NSIB walking	PC.F.NSIB vs. PC.SIB	0	siblinghood	2F1M, 2F1M	PC.SIB/PC.NSIB	R	L	0	sibling v non-sibling
Participant 5	5	A 5_7;9	F	0	5	32-33	3S->3PC.F.NSIB pointing	PC.F.NSIB vs PC.SIB	1	siblinghood	3F, 3F	PC.SIB/PC.NSIB	L	R	0	cross- v parallel-cousin
Participant 5	5	A 5_7;9	F	0	6	35-36	PC.SIB waving	PC.SIB vs. PC.F.NSIB	0	siblinghood	4F, 4F	PC.SIB/PC.NSIB	R	L	0	sibling v non-sibling
Participant 5	5	A 5_7;9	F	0	7	38-39	DU.SIB laughing	DU.SIB vs. DU.M.NSIB	1	siblinghood	2M, 2M	DU.SIB/DU.NSIB	R	R	1	cross- v parallel-cousin
Participant 5	5	A 5_7;9	F	0	8	41-42	PC.SIB laughing	PC.SIB vs PC.F.NSIB	0	siblinghood	1M2F, 1M2F	PC.SIB/PC.NSIB	L	L	1	sibling v non-sibling
Participant 5	5	A 5_7;9	F	0	9	44-45	PC.F.NSIB fighting	PC.F.NSIB vs PC.M.NSIB	0	gender	2M2F, 4M	F/M	L	R	0	male v female
Participant 5	5	A 5_7;9	F	0	10	47-48	3-> DU.F.NSIB pointing	DU.F.NSIB vs. DU.SIB	0	siblinghood	1M1F, 1M1F	DU.SIB/DU.NSIB	L	L	1	sibling v non-sibling
Participant 5	5	A 5_7;9	F	0	11	61-62	DU.F.NSIB fighting	DU.F.NSIB vs DU.SIB	1	Siblinghood	2F, 2F	DU.SIB/DU.NSIB	R	R	1	cross- v parallel-cousin
Participant 5	5	A 5_7;9	F	0	12	64-65	DU.F.NSIB laughing	DU.F.NSIB vs. DU.M.NSIB	0	gender	1F1M, 2M	F/M	L	L	1	male v female
Participant 5	5	A 5_7;9	F	0	13	67-68	PC.F.NSIB waving	PC.F.NSIB vs PC.SIB	0	siblinghood	2F1M, 2F1M	PC.SIB/PC.NSIB	R	R	1	sibling v non-sibling
Participant 5	5	A 5_7;9	F	0	14	70-72	3S->3DU.M.NSIB pointing	DU.M.NSIB vs. PC.M.NSIB	0	number	2M, 3M	DU/PC	L	L	1	dual v paucal
Participant 5	5	A 5_7;9	F	0	15	73-74	PC.SIB Fighting	PC.SIB vs PC.F.NSIB	1	siblinghood	2M2F, 2M2F	PC.SIB/PC.NSIB	R	R	1	cross- v parallel-cousin
Participant 5	5	A 5_7;9	F	0	16	76-77	DU.M.NSIB laughing	DU.M.NSIB vs. DU.SIB	1	siblinghood	2M, 2M	DU.SIB/DU.NSIB	R	L	0	cross- v parallel-cousin
Participant 5	5	A 5_7;9	F	0	17	79-80	DU.SIB walking	DU.SIB vs. DU.M.NSIB	0	siblinghood	2M, 2M	DU.SIB/DU.NSIB	L	R	0	sibling v non-sibling
Participant 5	5	A 5_7;9	F	0	18	82-83	PC.M.NSIB	PC.M.NSIB vs. DU.M.NSIB	0	number	3m, 2M	DU/PC	L	L	1	dual v paucal
Participant 5	5	A 5_7;9	F	0	19	85-86	DU.F.NSIB waving	DU.SIB vs. DU.F.NSIB	0	siblinghood	1M1F, 1M,1F	DU.SIB/DU.NSIB	R	R	1	sibling v non-sibling
Participant 5	5	A 5_7;9	F	0	20	88-89	DU.SIB laughing	DU.SIB vs. DU.M.NSIB	1	siblinghood	2M, 2M	DU.SIB/DU.NSIB	L	R	0	cross- v parallel-cousin
Participant 6	5	A 5_7;9	M	1	7	37-38	DU.F.NSIB walking	DU.F.NSIB vs. PC.F.NSIB	0	number	1F1M, 2F1M	DU/PC	L	L	1	dual v paucal
Participant 6	5	A 5_7;9	M	1	2	22-23	PC.F.NSIB waving	PC.F.NSIB vs PC.M.NSIB	0	gender	2M2F, 4M	F/M	L	R	0	male v female
Participant 6	5	A 5_7;9	M	1	3	25-26	DU.SIB fighting	DU.SIB vs. DU.M.NSIB	1	siblinghood	2M, 2M	DU.SIB/DU.NSIB	L	L	1	cross- v parallel-cousin
Participant 6	5	A 5_7;9	M	1	4	28-29	PC.F.NSIB walking	PC.F.NSIB vs. PC.SIB	0	siblinghood	2F1M, 2F1M	PC.SIB/PC.NSIB	R	R	1	sibling v non-sibling
Participant 6	5	A 5_7;9	M	1	5	31-32	3S->3PC.F.NSIB pointing	PC.F.NSIB vs PC.SIB	1	siblinghood	3F, 3F	PC.SIB/PC.NSIB	L	L	1	cross- v parallel-cousin
Participant 6	5	A 5_7;9	M	1	6	34-35	PC.SIB waving	PC.SIB vs. PC.F.NSIB	0	siblinghood	4F, 4F	PC.SIB/PC.NSIB	R	R	1	sibling v non-sibling
Participant 6	5	A 5_7;9	M	1	1	19-20	DU.SIB laughing	DU.SIB vs. DU.M.NSIB	1	siblinghood	2M, 2M	DU.SIB/DU.NSIB	R	L	0	cross- v parallel-cousin
Participant 6	5	A 5_7;9	M	1	8	40-41	PC.SIB laughing	PC.SIB vs PC.F.NSIB	0	siblinghood	1M2F, 1M2F	PC.SIB/PC.NSIB	L	R	0	sibling v non-sibling
Participant 6	5	A 5_7;9	M	1	9	43-44	PC.F.NSIB fighting	PC.F.NSIB vs PC.M.NSIB	0	gender	2M2F, 4M	F/M	L	L	1	male v female
Participant 6	5	A 5_7;9	M	1	10	46-47	3-> DU.F.NSIB pointing	DU.F.NSIB vs. DU.SIB	0	siblinghood	1M1F, 1M1F	DU.SIB/DU.NSIB	R	R	1	sibling v non-sibling
Participant 6	5	A 5_7;9	M	1	11	60-61	DU.F.NSIB fighting	DU.F.NSIB vs DU.SIB	1	Siblinghood	2F, 2F	DU.SIB/DU.NSIB	R	L	0	cross- v parallel-cousin
Participant 6	5	A 5_7;9	M	1	12	63-64	DU.F.NSIB laughing	DU.F.NSIB vs. DU.M.NSIB	0	gender	1F1M, 2M	F/M	L	R	0	male v female
Participant 6	5	A 5_7;9	M	1	13	66-67	PC.F.NSIB waving	PC.F.NSIB vs PC.SIB	0	siblinghood	2F1M, 2F1M	PC.SIB/PC.NSIB	R	R	1	sibling v non-sibling
Participant 6	5	A 5_7;9	M	1	14	69-70	3S->3DU.M.NSIB pointing	DU.M.NSIB vs. PC.M.NSIB	NA	number	2M, 3M	DU/PC	R	R	1	dual v paucal
Participant 6	5	A 5_7;9	M	1	15	72-73	PC.SIB Fighting	PC.SIB vs PC.F.NSIB	1	siblinghood	2M2F, 2M2F	PC.SIB/PC.NSIB	R	L	0	cross- v parallel-cousin
Participant 6	5	A 5_7;9	M	1	16	75-76	DU.M.NSIB laughing	DU.M.NSIB vs. DU.SIB	1	siblinghood	2M, 2M	DU.SIB/DU.NSIB	R	L	0	cross- v parallel-cousin
Participant 6	5	A 5_7;9	M	1	17	78-79	DU.SIB walking	DU.SIB vs. DU.M.NSIB	0	siblinghood	2M, 2M	DU.SIB/DU.NSIB	L	R	0	sibling v non-sibling
Participant 6	5	A 5_7;9	M	1	18	81-82	3S->3PC.M.NSIB pointing	PC.M.NSIB vs. DU.M.NSIB	0	number	3m, 2M	DU/PC	L	L	1	dual v paucal
Participant 6	5	A 5_7;9	M	1	19	84-85	DU.F.NSIB waving	DU.SIB vs. DU.F.NSIB	0	siblinghood	1M1F, 1M,1F	DU.SIB/DU.NSIB	R	L	0	sibling v non-sibling
Participant 6	5	A 5_7;9	M	1	20	87-88	DU.SIB laughing	DU.SIB vs. DU.M.NSIB	1	siblinghood	2M, 2M	DU.SIB/DU.NSIB	L	L	1	cross- v parallel-cousin
Participant 7	7	A 5_7;9	F	1	1	20-21	DU.F.NSIB walking	DU.F.NSIB vs. PC.F.NSIB	0	number	1F1M, 2F1M	DU/PC	R	R	1	dual v paucal
Participant 7	7	A 5_7;9	F	1	2	23-24	PC.F.NSIB waving	PC.F.NSIB vs PC.M.NSIB	0	gender	4F, 4M	F/M	L	L	1	male v female
Participant 7	7	A 5_7;9	F	1	3	26-27	DU.SIB fighting	DU.SIB vs. DU.M.NSIB	1	siblinghood	2M, 2M	DU.SIB/DU.NSIB	L	R	0	cross- v parallel-cousin
Participant 7	7	A 5_7;9	F	1	4	29-30	PC.F.NSIB walking	PC.F.NSIB vs. PC.SIB	0	siblinghood	2F1M, 2F1M	PC.SIB/PC.NSIB	R	L	0	sibling v non-sibling
Participant 7	7	A 5_7;9	F	1	5	32-33	3S->3PC.F.NSIB pointing	PC.F.NSIB vs PC.SIB	1	siblinghood	3F, 3F	PC.SIB/PC.NSIB	L	L	1	cross- v parallel-cousin
Participant 7	7	A 5_7;9	F	1	6	35-36	PC.SIB waving	PC.SIB vs. PC.F.NSIB	0	siblinghood	4F, 4F	PC.SIB/PC.NSIB	R	L	0	sibling v non-sibling
Participant 7	7	A 5_7;9	F	1	7	38-39	DU.SIB laughing	DU.SIB vs. DU.M.NSIB	1	siblinghood	2M, 2M	DU.SIB/DU.NSIB	R	L	0	cross- v parallel-cousin
Participant 7	7	A 5_7;9	F	1	8	41-42	PC.SIB laughing	PC.SIB vs PC.F.NSIB	0	siblinghood	1M2F, 1M2F	PC.SIB/PC.NSIB	L	R	0	sibling v non-sibling
Participant 7	7	A 5_7;9	F	1	9	44-45	PC.F.NSIB fighting	PC.F.NSIB vs PC.M.NSIB	0	gender	2M2F, 4M	F/M	L	L	1	male v female
Participant 7	7	A 5_7;9	F	1	10	47-48	3-> DU.F.NSIB pointing	DU.F.NSIB vs. DU.SIB	0	siblinghood	1M1F, 1M1F	DU.SIB/DU.NSIB	L	R	0	sibling v non-sibling
Participant 7	7	A 5_7;9	F	1	11	61-62	DU.F.NSIB fighting	DU.F.NSIB vs DU.SIB	1	Siblinghood	2F, 2F	DU.SIB/DU.NSIB	R	L	0	cross- v parallel-cousin
Participant 7	7	A 5_7;9	F	1	12	64-65	DU.F.NSIB laughing	DU.F.NSIB vs. DU.M.NSIB	0	gender	1F1M, 2M	F/M	L	R	0	male v female
Participant 7	7	A 5_7;9	F	1	13	67-68	PC.F.NSIB waving	PC.F.NSIB vs PC.SIB	0	siblinghood	2F1M, 2F1M	PC.SIB/PC.NSIB	R	L	0	sibling v non-sibling
Participant 7	7	A 5_7;9	F	1	14	70-72	3S->3DU.M.NSIB pointing	DU.M.NSIB vs. PC.M.NSIB	0	number	2M, 3M	DU/PC	L	R	0	dual v paucal
Participant 7	7	A 5_7;9	F	1	15	73-74	PC.SIB Fighting	PC.SIB vs PC.F.NSIB	1	siblinghood	2M2F, 2M2F	PC.SIB/PC.NSIB	R	L	0	cross- v parallel-cousin
Participant 7	7	A 5_7;9	F	1	16	76-77	DU.M.NSIB laughing	DU.M.NSIB vs. DU.SIB	1	siblinghood	2M, 2M	DU.SIB/DU.NSIB	R	R	1	cross- v parallel-cousin
